328,"应县","Ying Xian","140622","YIG"
329,"右玉县","Youyu Xian","140623","YOY"
330,"怀仁县","Huairen Xian","140624","HRN"
331,"忻州地区","Xinzhou Diqu","142200","XZD"
332,"忻州市","Xinzhou Shi","142201","XZS"
333,"原平市","Yuanping Shi","142202","YUP"
334,"定襄县","Dingxiang Xian","142222","DXJ"
335,"五台县","Wutai Xian","142223","WTA"
336,"代县","Dai Xian","142225","DAI"
337,"繁峙县","Fanshi Xian","142226","FSI"
338,"宁武县","Ningwu Xian","142227","NWU"
339,"静乐县","Jingle Xian","142228","JGL"
340,"神池县","Shenchi Xian","142229","SCI"
341,"五寨县","Wuzhai Xian","142230","WZH"
342,"苛岚县","Kelan Xian","142231","KLN"
343,"河曲县","Hequ Xian","142232","HQU"
344,"保德县","Baode Xian","142233","BDE"
345,"偏关县","Pianguan Xian","142234","PGN"
346,"吕梁地区","Lvliang Diqu","142300","LLD"
347,"孝义市","Xiaoyi Shi","142301","XOY"
348,"离石市","Lishi  Shi","142302","LSW"
349,"汾阳市","Fenyang Shi","142303","FYJ"
350,"文水市","Wenshui Shi","142322","WSJ"
351,"交城县","Jiaocheng Xian","142323","JCJ"
352,"兴县","Xing Xian","142325","XGX"
353,"临县","Lin Xian","142326","LXN"
354,"柳林县","Liulin Xian","142327","LUL"
355,"石楼县","Shilou Xian","142328","SLO"
356,"岚县","Lan Xian","142329","LAN"
357,"方山县","Fangshan Xian","142330","FGS"
358,"中阳县","Zhongyang Xian","142332","ZHY"
359,"交口县","Jiaokou Xian","142333","JKO"
360,"晋中地区","Jinzhong Diqu","142400","JZD"
361,"榆次市","Yuci Shi","142401","YCI"
362,"介休市","Jiexiu Shi","142402","JXS"
363,"榆社县","Yushe Xian","142421","YSJ"
364,"左权县","Zuoquan Xian","142422","ZQX"
365,"和顺县","Heshun Xian","142423","HSJ"
366,"昔阳县","Xiyang Xian","142424","XIY"
367,"寿阳县","Shouyang Xian","142427","SYJ"
368,"太谷县","Taigu Xian","142429","TIG"
369,"祁县","Qi Xian","142430","QIJ"
370,"平遥县","Pingyao Xian","142431","PGY"
371,"灵石县","Lingshi Xian","142433","LSF"
372,"临汾地区","Linfen Diqu","142600","LFD"
373,"临汾市","Linfen Shi","142601","LFN"
374,"侯马市","Houma Shi","142602","HMA"
375,"霍州市","Huozhou Shi","142603","HOZ"
376,"曲沃县","Quwo Xian","142621","QWO"
377,"翼城县","Yicheng Xian","142622","YCB"
378,"襄汾县","Xiangfen Xian","142623","XFJ"
379,"洪洞县","Hongtong Xian","142625","HTO"
380,"古县","Gu Xian","142627","GUX"
381,"安泽县","Anze Xian","142628","AZE"
382,"浮山县","Fushan Xian","142629","FSJ"
383,"吉县","Ji Xian","142630","JIJ"
384,"乡宁县","Xiangning Xian","142631","XGN"
385,"浦县","Pu Xian","142632","PUX"
386,"大宁县","Daning Xian","142633","DNG"
387,"永和县","Yonghe Xian","142634","YGH"
388,"隰县","Xi Xian","142635","XIJ"
389,"汾西县","Fenxi Xian","142636","FEX"
390,"运城地区","Yuncheng Diqu","142700","YCJ"
391,"运城市","Yuncheng Shi","142701","YCE"
392,"永济市","Yongji Shi","142702","YJJ"
393,"河津市","Hejin Shi","142703","HJS"
394,"芮城县","Ruicheng Xian","142723","RIC"
395,"临猗县","Linyi Xian","142724","LYJ"
396,"万荣县","Wanrong Xian","142725","WRG"
397,"新绛县","Xinjiang Xian","142726","XNJ"
398,"稷山县","Jishan Xian","142727","JSJ"
399,"闻喜县","Wenxi Xian","142729","WNX"
400,"夏县","Xia Xian","142730","XIA"
401,"绛县","Jiang Xian","142731","JXC"
402,"平陆县","Pinglu Xian","142732","PGL"
403,"垣曲县","Yuanqu Xian","142733","YQU"
404,"呼和浩特市","Hohhot Shi","150100","Hhht"
405,"市辖区","Shixiaqu","150101",
406,"新城区","Xincheng Qu","150102","XCN"
407,"回民区","Huimin Qu","150103","HMQ"
408,"玉泉区","Yuquan Qu","150104","YQN"
409,"郊区","Jiaoqu","150105","JQH"
410,"土默特左旗","Tumd Zuoqi","150121","TUZ"
411,"托克托县","Togtoh Xian","150122","TOG"
412,"和林格尔县","Horinger Xian","150123","HOR"
413,"清水河县","Qingshuihe Xian","150124","QSH"
414,"武川县","Wuchuan Xian","150125","WCX"
415,"包头市","Baotou Shi","150200","BTS"
416,"市辖区","Shixiaqu","150201",
417,"东河区","Donghe Qu","150202","DHE"
418,"昆都伦区","Hondlon Qu","150203","HDB"
419,"青山区","Qingshan Qu","150204","QSB"
420,"石拐矿区","Shiguai Kuangqu","150205","SGK"
421,"白云矿区","Baiyun Kuangqu","150206","BYK"
422,"郊区","Jiaoqu","150207","JBT"
423,"土默特右旗","Tumd Youqi","150221","TUY"
424,"固阳县","Guyang Xian","150222","GYM"
425,"达尔罕茂明安联合旗","Darhan Muminggan Lianheqi","150223","DML"
426,"乌海市","Wuhai Shi","150300","WHM"
427,"市辖区","Shixiaqu","150301",
428,"海勃湾区","Haibowan Qu","150302","HBW"
429,"海南区","Hainan Qu","150303","HNU"
430,"乌达区","Ud Qu","150304","UDQ"
431,"赤峰市","Chifeng (Ulanhad)Shi","150400","CFS"
432,"市辖区","Shixiaqu","150401",
433,"红山区","Hongshan Qu","150402","HSZ"
434,"元宝山区","Yuanbaoshan Qu","150403","YBO"
435,"松山区","Songshan Qu","150404","SSQ"
436,"阿鲁科尔沁旗","Ar Horqin Qi","150421","AHO"
437,"巴林左旗","Bairin Zuoqi","150422","BAZ"
438,"巴林右旗","Bairin Youqi","150423","BAY"
439,"林西县","Linxi Xian","150424","LXM"
440,"克什克腾旗","Hexigten Qi","150425","HXT"
441,"翁牛特旗","Ongniud Qi","150426","ONG"
442,"喀喇沁旗","Harqin Qi","150428","HAR"
443,"宁城县","Ningcheng Xian","150429","NCH"
444,"敖汉旗","Aohan Qi","150430","AHN"
445,"呼伦贝尔盟","Hulun Buir Meng","152100","HBM"
446,"海拉尔市","Hailar Shi","152101","HLR"
447,"满洲里市","Manzhouli Shi","152102","MLX"
448,"扎兰屯市","Zalantun Shi","152103","ZLT"
449,"牙克石市","Yakeshi Shi","152104","YKS"
450,"根河市","Genhe Shi","152105","GHS"
451,"额尔古纳市","Ergun Shi","152106","ERG"
452,"阿荣旗","Arun Qi","152122","ARU"
453,"莫力达瓦达斡尔族自治旗","Morin Dawa Daurzu Zizhiqi","152123","MDD"
454,"鄂伦春自治旗","Oroqen Zizhiqi","152127","ORO"
455,"鄂温克族自治旗","Ewenkizu Zizhiqi","152128","EWE"
456,"新巴尔虎右旗","Xin Barag Youqi","152129","XBY"
457,"新巴尔虎左旗","Xin Barag Zuoqi","152130","XBZ"
458,"陈巴尔虎旗","Chen Barag Qi","152131","CBA"
459,"兴安盟","Hinggan Meng","152200","HIN"
460,"乌兰浩特市","Ulan Hot Shi","152201","ULO"
461,"阿尔山市","Arxan Shi","152202","ARS"
462,"科尔沁右翼前旗","Horqin Youyi Qianqi","152221","HYQ"
463,"科尔沁右翼中旗","Horqin Youyi Zhongqi","152222","HYZ"
464,"扎赉特旗","Jalaid Qi","152223","JAL"
465,"突泉县","Tuquan Xian","152224","TUQ"
466,"哲里木盟","Jirem Meng","152300","JIR"
467,"通辽市","Tongliao Shi","152301","TLO"
468,"霍林郭勒市","Holingol Shi","152302","HOL"
469,"科尔沁左翼中旗","Horqin Zuoyi Zhongqi","152322","HZZ"
470,"科尔沁左翼后旗","Horqin Zuoyi Houqi","152323","HZI"
471,"开鲁县","Kailu Xian","152324","KLU"
472,"库伦旗","Hure Qi","152325","HUR"
473,"奈曼旗","Naiman Qi","152326","NMN"
474,"扎鲁特旗","Jarud Qi","152327","JAR"
475,"锡林郭勒盟","Xilin Gol Meng","152500","XGO"
476,"二连浩特市","Erenhot Shi","152501","ERC"
477,"锡林浩特市","Xilinhot Shi","152502","XLI"
478,"阿巴嘎旗","Abag Qi","152522","ABG"
479,"苏尼特左旗","Sonid Zuoqi","152523","SOZ"
480,"苏尼特右旗","Sonid Youqi","152524","SOY"
481,"东乌珠穆沁旗","Dong Ujimqin Qi","152525","DUJ"
482,"西乌珠穆沁旗","Xi Ujimqin Qi","152526","XUJ"
483,"太仆寺旗","Taibus Qi","152527","TAB"
484,"镶黄旗","Xianghuang(Hobot Xar) Qi","152528","XHG"
485,"正镶白旗","Zhengxiangbai(Xulun Hobot Qagan)Qi","152529","ZXB"
486,"正蓝旗","Zhenglan(Xulun Hoh)Qi","152530","ZLM"
487,"多伦县","Duolun (Dolonnur)Xian","152531","DLM"
488,"乌兰察布盟","Ulanqab Meng","152600","ULM"
489,"集宁市","Jining Shi","152601","JIN"
490,"丰镇市","Fengzhen Shi","152602","FZS"
491,"卓资县","Zhuozi Xian","152624","ZUZ"
492,"化德县","Huade Xian","152625","HDE"
493,"商都县","Shangdu Xian","152626","SDX"
494,"兴和县","Xinghe Xian","152627","XHM"
495,"凉城县","Liangcheng Xian","152629","LCM"
496,"察哈尔右翼前旗","Qahar Youyi Qianqi","152630","QYM"
497,"察哈尔右翼中旗","Qahar Youyi Zhongqi","152631","QYZ"
498,"察哈尔右翼后旗","Qahar Youyi Houqi","152632","QYH"
499,"四子王旗","Dorbod Qi","152634","DOR"
500,"伊克昭盟","Ih Ju Meng","152700","IJU"
501,"东胜市","Dongsheng Shi","152701","DSS"
502,"达拉特旗","Dalad Qi","152722","DLA"
503,"准格尔旗","Jungar Qi","152723","JUN"
504,"鄂托克前旗","Otog Qianqi","152724","OTQ"
505,"鄂托克旗","Otog Qi","152725","OTO"
506,"杭锦旗","Hanggin Qi","152726","HAQ"
507,"乌审旗","Uxin Qi","152727","UXI"
508,"伊金霍洛旗","Ejin Horo Qi","152728","EHO"
509,"巴彦淖尔盟","Bayannur Meng","152800","BAM"
510,"临河市","Linhe Shi","152801","LNH"
511,"五原县","Wuyuan Xian","152822","WYM"
512,"磴口县","Dengkou Xian","152823","DKO"
513,"乌拉特前旗","Urad Qianqi","152824","URQ"
514,"乌拉特中旗","Urad Zhongqi","152825","URZ"
515,"乌拉特后旗","Urad Houqi","152826","URH"
516,"杭锦后旗","Hanggin Houqi","152827","HAH"
517,"阿拉善盟","Alxa Meng","152900","ALM"
518,"阿拉善左旗","Alxa Zuoqi","152921","ALZ"
519,"阿拉善右旗","Alxa Youqi","152922","ALY"
520,"额济纳旗","Ejin Qi","152923","EJI"
521,"沈阳市","Shenyang Shi","210100","SHE"
522,"市辖区","Shixiaqu","210101",
523,"和平区","Heping Qu","210102","HEP"
524,"沈河区","Shenhe Qu","210103","SHQ"
525,"大东区","Dadong Qu","210104","DDQ"
526,"皇姑区","Huanggu Qu","210105","HGU"
527,"铁西区","Tiexi Qu","210106","TXI"
528,"苏家屯区","Sujiatun Qu","210111","SJT"
529,"东陵区","Dongling Qu","210112","DLQ"
530,"新城子区","Xinchengzi Qu","210113","XCZ"
531,"于洪区","Yuhong Qu","210114","YHQ"
532,"辽中县","Liaozhong Xian","210122","LZL"
533,"康平县","Kangping Xian","210123","KPG"
534,"法库县","Faku Xian","210124","FKU"
535,"新民市","Xinmin Shi","210181","XMS"
536,"大连市","Dalian Shi","210200","DLC"
537,"市辖区","Shixiaqu","210201",
538,"中山区","Zhongshan Qu","210202","ZSD"
539,"西岗区","Xigang Qu","210203","XGD"
540,"沙河口区","Shahekou Qu","210204","SHK"
541,"甘井子区","Ganjingzi Qu","210211","GJZ"
542,"旅顺口区","Lvshunkou Qu","210212","LSK"
543,"金州区","Jinzhou Qu","210213","JZH"
544,"长海县","Changhai Xian","210224","CHX"
545,"瓦房店市","Wafangdian Shi","210281","WFD"
546,"普兰店市","Pulandian Shi","210282","PLD"
547,"庄河市","Zhuanghe Shi","210283","ZHH"
